"Country_Name","Country_Code","año","escanos","PBI","educacion_superior","estabilidad_politica","fuerza_laboral","corrupcion","igualdad","region"
"Djibouti","DJI","2020",26.1538461538462,1.31636324158444,25.4051609039307,-0.448214262723923,17.906,-0.752702355384827,3.5,"Africa"
"Dominica","DMA","2020",34.375,-16.6041095231221,65.2590179443359,1.31699824333191,53.173,0.557267367839813,3,"Latin America & Caribbean"
"Dominican Republic","DOM","2020",27.8947368421053,-6.72023937283404,58.7222595214844,0.164941698312759,47.278,-0.751166820526123,3,"Latin America & Caribbean"
"Ecuador","ECU","2020",39.4160583941606,-9.24509637743429,30.7380790710449,-0.270263135433197,48.295,-0.503777742385864,4,"Latin America & Caribbean"
"Egypt, Arab Rep.","EGY","2020",27.4111675126904,3.550164838581,31.737979888916,-1.18191170692444,14.585,-0.810555279254913,1.5,"Africa"
"El Salvador","SLV","2020",33.3333333333333,-7.893101359867,58.0625381469727,-0.115019135177135,43.202,-0.577217638492584,4,"Latin America & Caribbean"
"Equatorial Guinea","GNQ","2020",21,-4.79108083383294,67.2383193969727,-0.221582889556885,48.722,-1.53900897502899,3.5,"Africa"
"Estonia","EST","2020",28.7128712871287,-0.965410617081545,5.34714984893799,0.709752976894379,57.369,1.58086550235748,4,"Europe Eastern"
"Eswatini","SWZ","2020",9.58904109589041,-1.55964258999499,19.2982997894287,-0.0405771993100643,46.682,-0.296206951141357,4,"Africa"
"Ethiopia","ETH","2020",38.7568555758684,6.05953088643369,31.737979888916,-1.75365614891052,73.856,-0.390404462814331,3.5,"Africa"
"Fiji","FJI","2020",19.6078431372549,-17.0398708371883,5.34714984893799,0.661915123462677,37.159,0.61318838596344,4,"Oceania"
"Finland","FIN","2020",46,-2.35496515679442,77.8389434814453,0.981748819351196,55.224,2.17063069343567,3,"Europe Western"
"France","FRA","2020",39.5147313691508,-7.54045916249407,58.3586616516113,0.280948132276535,50.626,1.12234926223755,3.5,"Europe Western"
"Gabon","GAB","2020",14.7887323943662,-1.8377610635094,71.8813705444336,-0.0658019334077835,37.122,-0.887642741203308,2.5,"Africa"
"Gambia, The","GMB","2020",8.62068965517241,0.591487287873974,54.9326095581055,0.247992232441902,55.554,-0.425882965326309,3.5,"Africa"
"Georgia","GEO","2020",20.6666666666667,-6.2904717853839,44.0831909179688,-0.429623365402222,55.115,0.600856006145477,3,"Asia"
"Germany","DEU","2020",31.1706629055007,-3.82676871619293,46.2127418518066,0.644988059997559,55.56,1.82571387290955,3.5,"Europe Western"
"Ghana","GHA","2020",13.0909090909091,0.513941670628171,7.84596014022827,0.169862180948257,64.668,-0.127230331301689,4,"Africa"
"Greece","GRC","2020",21.6666666666667,-9.31643576478743,51.947380065918,0.115144267678261,43.268,0.0320753939449787,3.5,"Europe Western"
